,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,647,Harry Kane,35,3097,23,22.17485891,14,7.577093588,138,49,1,0,F,Tottenham,19,19.13018344,24.99564832,4.451256848
1,1250,Mohamed Salah,37,3085,22,20.25084664,5,6.528526101,126,55,0,0,F M S,Liverpool,16,15.68383364,28.96823355,9.800235655
2,1228,Bruno Fernandes,37,3117,18,16.01945446,12,11.47499598,121,95,6,0,M S,Manchester United,9,8.407839627,26.91141238,11.93228487
3,453,Son Heung-Min,37,3139,17,11.02328676,10,9.51299247,68,75,0,0,F M S,Tottenham,16,10.2621179,20.67191555,6.608751139
4,822,Patrick Bamford,38,3085,17,18.40186261,7,3.782246552,107,30,3,0,F S,Leeds,15,16.87952495,23.39495271,4.131795546
5,5555,Dominic Calvert-Lewin,32,2788,16,18.13644871,0,2.101818834,82,18,3,0,F S,Everton,16,18.13644871,19.69885002,4.159406215
6,755,Jamie Vardy,34,2848,15,19.94294611,9,5.087881522,82,28,1,0,F S,Leicester,7,13.09242658,18.22790737,2.412587734
7,8865,Ollie Watkins,37,3330,14,16.28017765,5,5.314029492,98,45,2,1,F,Aston Villa,13,14.75784001,22.01402079,5.334991174
8,314,Ilkay Gündogan,28,2033,13,9.566883081,2,3.816219656,54,42,1,0,M S,Manchester City,12,8.044545346,19.28681173,10.14837474
9,3277,Alexandre Lacazette,30,1928,13,12.02890942,2,2.209213115,45,22,3,0,F M S,Arsenal,10,9.745402876,14.36154239,2.937940784
10,468,Callum Wilson,26,2079,12,13.59009125,5,3.046300631,49,17,2,0,F S,Newcastle United,8,10.54541587,14.20559293,1.052545197
11,620,Kelechi Iheanacho,25,1452,12,9.048596148,2,3.534099193,59,28,1,0,F S,Leicester,12,8.287427311,13.96156364,3.429915309
12,986,Danny Ings,28,2115,12,8.139229242,4,2.31123058,56,22,1,0,F S,Southampton,10,6.616891518,9.929088691,2.063255545
13,4456,Chris Wood,32,2675,12,12.89600912,3,2.038118389,69,23,0,0,F S,Burnley,10,11.37367138,13.58528152,2.14985176
14,522,Wilfried Zaha,30,2615,11,8.804439895,2,3.702821104,60,30,6,0,F M S,Crystal Palace,9,7.282102235,13.57947247,3.634436188
15,556,Marcus Rashford,37,2941,11,9.579709992,9,4.185122116,79,44,4,0,F M S,Manchester United,11,9.579709992,20.44191016,8.927207557
16,838,Sadio Mané,35,2805,11,14.82854776,7,7.787754854,94,61,3,0,F M S,Liverpool,11,14.82854776,24.9989232,6.057656283
17,2251,Gareth Bale,20,909,11,5.797857678,2,1.842241395,38,21,1,0,M S,Tottenham,11,5.797857678,8.14964091,2.594513725
18,7153,Matheus Pereira,33,2594,11,6.948316539,6,6.3555393,65,58,2,1,M S,West Bromwich Albion,7,3.903641086,10.85705416,3.757923773
19,318,Pierre-Emerick Aubameyang,28,2254,10,10.19408863,3,2.352406542,55,19,2,0,F M S,Arsenal,8,8.67175097,14.77899793,3.955129319
20,531,Michail Antonio,25,1923,10,14.13883854,5,3.034944864,63,25,3,0,F S,West Ham,10,14.13883854,18.99889111,2.655063789
21,606,Christian Benteke,30,1824,10,7.457401188,1,0.697626286,71,15,1,1,F S,Crystal Palace,10,7.457401188,8.472839532,3.153553776
22,618,Raheem Sterling,30,2449,10,11.76326408,6,5.817095671,68,35,3,0,F M S,Manchester City,10,11.00209523,24.08866617,11.4771245
23,3294,Edinson Cavani,26,1355,10,8.603231721,3,2.317243515,34,14,4,0,F S,Manchester United,10,8.603231721,12.25918739,2.730645167
24,5612,Anwar El Ghazi,28,1612,10,9.037517841,0,1.882865613,64,26,2,0,F M S,Aston Villa,6,5.992842442,7.845562791,2.691346372
